YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,2,12,21,0
2010,2,12,22,0
2010,2,12,23,0
2010,2,13,0,0
2010,2,13,1,0
2010,2,13,2,0
2010,2,13,3,0
2010,2,13,4,0
2010,2,13,5,0
2010,2,13,6,6.14
2010,2,13,7,115.15
2010,2,13,8,290.77
2010,2,13,9,511.6
2010,2,13,10,673.4
2010,2,13,11,769.51
2010,2,13,12,810.34
2010,2,13,13,752.77
2010,2,13,14,606.3
2010,2,13,15,434.39
2010,2,13,16,259
2010,2,13,17,77.63
2010,2,13,18,0
2010,2,13,19,0
2010,2,13,20,0
2010,2,13,21,0
2010,2,13,22,0
2010,2,13,23,0
2010,2,14,0,0
2010,2,14,1,0
2010,2,14,2,0
2010,2,14,3,0
2010,2,14,4,0
2010,2,14,5,0
2010,2,14,6,5.9
2010,2,14,7,99.06
2010,2,14,8,296.88
2010,2,14,9,504.91
2010,2,14,10,645.53
2010,2,14,11,748.74
2010,2,14,12,734.87
2010,2,14,13,643.73
2010,2,14,14,590.18
2010,2,14,15,417.59
2010,2,14,16,248.67
2010,2,14,17,69.3
2010,2,14,18,0
2010,2,14,19,0
2010,2,14,20,0
2010,2,14,21,0
2010,2,14,22,0
2010,2,14,23,0
2010,2,15,0,0
2010,2,15,1,0
2010,2,15,2,0
2010,2,15,3,0
2010,2,15,4,0
2010,2,15,5,0
2010,2,15,6,6.09
2010,2,15,7,92.06
2010,2,15,8,271.02
2010,2,15,9,478.94
2010,2,15,10,662.71
2010,2,15,11,775.02
2010,2,15,12,813.62
2010,2,15,13,756.48
2010,2,15,14,589.48
2010,2,15,15,458.39
2010,2,15,16,286.08
2010,2,15,17,80.43
2010,2,15,18,0
2010,2,15,19,0
2010,2,15,20,0
2010,2,15,21,0
2010,2,15,22,0
2010,2,15,23,0
2010,2,16,0,0
2010,2,16,1,0
2010,2,16,2,0
2010,2,16,3,0
2010,2,16,4,0
2010,2,16,5,0
2010,2,16,6,5.87
2010,2,16,7,96.66
2010,2,16,8,281.38
2010,2,16,9,436.56
2010,2,16,10,561.23
2010,2,16,11,672.23
2010,2,16,12,763.75
2010,2,16,13,720.54
2010,2,16,14,618.78
2010,2,16,15,468.84
2010,2,16,16,277.98
2010,2,16,17,81.7
2010,2,16,18,0
2010,2,16,19,0
2010,2,16,20,0
2010,2,16,21,0
2010,2,16,22,0
2010,2,16,23,0
2010,2,17,0,0
2010,2,17,1,0
2010,2,17,2,0
2010,2,17,3,0
2010,2,17,4,0
2010,2,17,5,0
2010,2,17,6,6.8
2010,2,17,7,92.41
2010,2,17,8,292.95
2010,2,17,9,486.61
2010,2,17,10,641.55
2010,2,17,11,742.31
2010,2,17,12,824.05
2010,2,17,13,759.55
2010,2,17,14,667.34
2010,2,17,15,432.88
2010,2,17,16,293.3
2010,2,17,17,85.87
2010,2,17,18,0
2010,2,17,19,0
2010,2,17,20,0
2010,2,17,21,0
2010,2,17,22,0
2010,2,17,23,0
2010,2,18,0,0
2010,2,18,1,0
2010,2,18,2,0
2010,2,18,3,0
